,nickname,text,score,like,dislike,time,watch_movie
111,기곰천사(lsh5****),최고의 로맨틱 영화. 명작.,10,0,0,2015-08-08 10:10,0
112,까뮈(araj****),시간이 지나도 가슴에 남아있는 최고의 영화중 하나,10,0,0,2015-07-30 10:25,0
113,예슬2(yesu****),진짜 말이 필요없는 영화꼭 보시길!!,10,0,0,2015-07-13 14:34,0
114,페를루이(perl****),정말 이영화는.. 최고였어요~!! 아직도 설레는..,10,0,0,2015-06-28 16:51,0
115,가지마(wint****),달달하네요~~~~.,10,0,0,2015-06-18 14:27,0
116,yasi****,잼있다봐도 후회하지 않을 영화휴그랜ㅌ 드류베리모어 완벽한 캐스팅인듯,10,0,0,2015-01-28 16:01,0
117,똘이천사(ton0****),기분좋은 달콤한 영화 너무좋아요,9,0,0,2015-01-28 14:56,0
118,파애(shsa****),지금 생각하면 아련한 추억까지 담겨있는 영화. 가히 최고의 로맨틱 코메디 영화♡,10,0,0,2015-01-23 3:02,0
119,rock****,연인끼리 보면 좋을 달달한 영화!!! 노래도 굳!!,9,0,0,2015-01-18 15:30,0
120,gkdk****,좋았다 스토리도 다좋은데 분위기때문인가 머시긴가 내마음을 울리긴 약간 부족했다 왜 다 좋은데 왜그러는거야,9,0,0,2015-01-07 17:57,0
121,허수아비(happ****),말이 필요 ㄴㄴ 10자.,10,0,0,2015-01-06 9:40,0
122,슈퍼공돌이(hiso****),영화 참 예쁘네요 열글자,10,0,0,2015-01-05 0:32,0
123,싸내(volt****),개봉 후 좀 있다 봤었는데... 크리스마스 이브가 되니 갑자기 생각나네... 평점 와서 봤더니 8점대가 뭐니? 최소 9점 이상은 되어야함.,10,0,0,2014-12-24 18:56,0
124,chri****,way to back in love~,10,0,0,2014-09-07 1:37,0
125,bin7****,너무 사랑스러운 영화다 거기다ost까지 완벽하다♥,10,0,0,2014-06-25 16:49,0
126,사람(tsli****),노래 줄거리 배우 다좋음,10,0,0,2014-06-06 13:37,0
127,SEOKK(seok****),나를기분좋게만들어준다,10,0,0,2014-05-01 15:42,0
128,hsw2****,간만에 봤는데... 역시나 잼나요~ 가끔은 감성을 자극 하는 영화가 필요할때 추천!!,10,0,0,2014-04-28 0:39,0
129,빵구(tbvn****),짱짱 진짜 재밌구요 사랑이가득 담긴영화예요 ㅋ,9,0,0,2014-02-20 14:52,0
130,밀크앤허니(noor****),"재밌고 , 유쾌하고, OST도 좋다. 최고!!!",10,0,0,2014-02-19 1:31,0
131,qazxsw(kmhk****),자꾸 보고 싶어지는 영화!!!,10,0,0,2014-02-14 18:24,0
132,엑시아(rhfl****),실패한 두 인생이 하나가 되었어요 휴그랜트와 드류베리모어 캐스팅완벽 로코의 정석 완전강추!!!,10,0,0,2014-02-05 23:53,0
133,greenleaf(kawa****),노래만 들어도 좋다...,10,0,0,2014-02-04 2:33,0
134,아싸좋다(ange****),노래정말 좋네 ㅎㅎ 굿~,9,0,0,2014-01-31 11:25,0
135,헤밍웨이(kall****),다시봐도 재밌는 영화. 최고,10,0,0,2014-01-01 2:19,0
136,강아지(jinn****),정말 좋아요 재밌습니다 ^^*,10,0,0,2013-12-24 21:58,0
137,shss****,노래 쩔고 베리모어 짱 예쁘게 나옴,10,0,0,2013-12-22 17:58,0
138,dlsd****,평점을 떠나서 정말 감동적이다,10,0,0,2013-11-25 21:18,0
139,별(juli****),진정한 그 자체에 대함을 생각하게 해준다.,10,0,0,2013-11-25 4:53,0
140,ihi0****,Ost 너무좋네요~사랑스러운 영화입니다^ ^*,10,0,0,2013-10-19 0:51,0
141,당당(ange****),주연 둘다 연기 끝내줌.. 조연들 매력적임... ost는 덤....ㅋㅋㅋ,10,0,0,2013-10-07 17:44,0
142,기사응징(jayg****),남주 여주 둘다 연기 개잘함,10,0,0,2013-10-03 22:39,0
143,기린(giri****),Ost도 좋고 보고나면 기분도 딱 좋다,9,0,0,2013-10-01 16:18,0
144,ruda****,ost 최고!! 노래들 때문에 너무 예쁜 영화! 휴그랜트가 엉덩이를 흔들때 왜이렇게 섹시한건지.. 드류베리모어는 여전히 사랑스럽다..보는내내 미소짓게 만든다.,9,0,0,2013-09-29 2:50,0
145,음냐휭(nmih****),pop! goes my heart 최고!,7,0,0,2013-09-18 17:41,0
146,토레스성형설(dark****),로맨틱코미디의정수. 최고다,10,0,0,2013-09-15 19:32,0
147,이탄희(tany****),노래로 만들 수 있는 사랑의 모든것.,8,0,0,2013-08-10 0:27,0
148,슈펠터(chsm****),너무 오글거리지도 않고 적당하게 로맨스코메디의 전형적인 영화를 보았다.,9,0,0,2013-07-05 23:06,0
149,타카라이(0r0i****),로맨스영화의 전형을 제대로 보여준 작품. OST는 최고.,7,0,0,2013-07-03 0:48,0
150,tjrdlf0831(exca****),영화도 달달 노래도 달달 편한한 마음으로 볼수있는 가슴따뜻한 영화,8,0,0,2013-06-30 3:40,0
151,미니(7744****),ㅅㅅ,10,0,0,2013-06-28 12:51,0
152,hljs0104(hljs****),진짜 너무 좋은 영화다,10,0,0,2013-06-23 9:36,0
153,ces9****,그어떠한영화보다깊은여운을나기는영화,10,0,0,2013-06-23 3:05,0
154,kora****,아달달해 휴그랜트도너무좋고 노래좋고 스토리좋고오랜만에 가슴이뭉클해진다♥,10,0,0,2013-06-12 11:52,0
155,러뽀예(k384****),영화내내 노래를 따라부르게 되네요 ㅎㅎ,10,0,0,2013-05-31 17:47,0
156,dnjs****,진짜너무재밌다ㅠㅠㅠ정말말그대로 이쁜영화,10,0,0,2013-05-27 8:59,0
157,psjg****,최고ㅠㅠ,10,0,0,2013-05-24 10:35,0
158,3867****,이영화를 지금봤다니..ㅜㅡㅜ,10,0,0,2013-05-20 0:59,0
159,dedu****,달달하다 @.@,10,0,0,2013-05-17 11:52,0
160,Justino(cece****),ㅜㅜ 너무 좋다...건양대 뮤즈 뽜이팅이여 ㅋㅋ,10,0,0,2013-05-17 3:52,0
161,하루가(hy2o****),배우랑 ost가 살린 영화. 드류가 이렇게 사랑스러웠어?,8,0,0,2013-05-12 13:19,0
162,dngu****,와 ....진짜재밋다 .. way back into love .. 완전최고 ㄷㄷ,10,0,0,2013-05-06 16:20,0
163,스페셜(wlfa****),"음악, 배우의 매력, 로맨틱 무비로서도 하나같이 너무 좋다.",9,0,0,2013-05-04 18:39,0
164,tlqk****,재밋네요,10,0,0,2013-04-28 21:20,0
