,nickname,text,score,like,dislike,time,watch_movie
12391,최지훈(butt****),음악이 정말 좋아요 으음 여자친구랑 싸우고 봤는데 영화 덕분에 잘 풀 수 있었어요!,10,0,0,2014-08-28 11:24,관람객
12392,EiffeL(eiff****),핵꿀잼영화강추여진심,10,0,0,2014-08-28 11:23,관람객
12393,kyou****,재미있고 무엇보다 ost가 최고,8,0,0,2014-08-28 11:20,관람객
12394,icepink(smar****),정말정말 즐겁게. 유쾌하게 본 영화.최고최고,9,0,0,2014-08-28 11:15,관람객
12395,Lanziee(gudc****),말이 필요없다 올해 최고다,10,0,0,2014-08-28 10:57,0
12396,Bellassujin(aofh****),흔한 로맨스 영화가 아니라 신선했고 이별을 대처하는 여주인공의 자세가 멋졌다. 삶의 모든 순간이 음악이 될 수 있음을 ...,9,0,0,2014-08-28 10:50,관람객
12397,딸기(mhch****),신나고 재밌었음!노래 좋음,10,0,0,2014-08-28 10:48,0
12398,뀨뀨(kimc****),스토리가 더 남은 것 같은데 끝이 났을 정도로 몰입도 최고!,10,0,0,2014-08-28 10:48,0
12399,TheQuattro(wkhe****),처음에는 너무 뻔한 스토리여서 실망할뻔 했으나 점점 노래가 좋아지면서... 마지막에 애덤리바인이 공연장에서 노래 부를때 대박 좋았음. 그리고 야외에서 녹음 장면은 야외공연을 보는것 같았음. 극장에서 듣는게 더 좋았던...,8,0,0,2014-08-28 10:40,0
12400,cool****,영화가 끝난 후에도 진한 여운이 쭈욱 남는 좋은 영화였습니다.최근들어 보기드문 감동과 여운을 남겨주는 이 영화 강추합니다.,9,0,0,2014-08-28 10:36,0
12401,sanb****,"재밌음. 원스보다 영화다운 요소들이 많이 들어가있고, 음악도 좋지만 가사들도 너무 좋아서 지루하지 않음",10,0,0,2014-08-28 10:35,0
12402,아임세지(bin_****),예쁘게 영화가 잘 나온거 같아여~ 음악도 좋아서 계속 찾아서 듣고있어요~,9,0,0,2014-08-28 10:33,관람객
12403,이실(wsk6****),노래가  주인  영화.... 그런데  노래가 너무 좋다,9,0,0,2014-08-28 10:31,0
12404,초련이(jje6****),영화에 몰입되어 보기는 첨이네요.. 나오는 노래들도 좋구요. 길거리 에서 음반을 만드는거 보니깐.. 이 음반 저두 사고 싶어요..어디서 파나용?? ㅋ,9,0,0,2014-08-28 10:28,0
12405,향가체(yhd4****),굿 너무쟈밋어용 ㅋㅋㅋㅋ,10,0,0,2014-08-28 10:10,관람객
12406,동동동동동(zlrz****),음악도 너무좋았고 영상도 멋진영화,10,0,0,2014-08-28 10:08,0
12407,나무와새(kims****),잔잔하지만 노래는  엄청나다.,10,0,0,2014-08-28 9:55,0
12408,솜정(smj1****),낭만 그 자체. 마지막 노래는 소름이 돋았다.,10,0,0,2014-08-28 9:36,0
12409,초은(kcd4****),어제 집사람이랑 퇴근 후 봤습니다. 정말 잘 된 멋있는 낭만이 있고 슬픔을 기쁨으로 승화시키고 좌절을 견뎌내며 웃음도 있는 참 좋은 영화였습니다. 적극 추천합니다. 나이에 관계없이...,10,0,0,2014-08-28 9:04,0
12410,kid0****,보는내내 감동적이었습니다 영화도 음악도 너무나멋진 영화...!,8,0,0,2014-08-28 8:54,관람객
12411,y_ma****,최고 ost 계속 듣는중 ㅎㅎㅎ,10,0,0,2014-08-28 8:52,0
12412,열심열매(cyug****),음악이 주는 감동 힐링영화,10,0,0,2014-08-28 8:46,관람객
12413,MINI Luv(kimm****),너무 재미있고 엔딩까지 최고인거 같습니다 !! 오랜만에 영화봤는데 기분 너무 좋아요 ~~ 영화끝나고 바로 o.s.t 스트리밍~~~,10,0,0,2014-08-28 8:38,0
12414,이일이(cofl****),올해 최고의 영화입니다.. 마치 콘서트장에 다녀온 기분이였습니다.  ost 전곡 구입했습니다ㅜㅜ 정말 꼭 보세요ㅜㅜ 진심으로 강력 추천합니다ㅜㅜ,10,0,0,2014-08-28 8:30,0
12415,cher****,평점이너무높아서 오히려 실망을...Ost 는 좋지만로맨스가 오글거리는,7,0,0,2014-08-28 8:29,0
12416,muse****,오랜만에 제대로 된 영화보네요 행복해지는 영화 강추합니다,10,0,0,2014-08-28 8:14,0
12417,musi****,음악도 내용도 탄탄해요! 최고에요!!!,10,0,0,2014-08-28 8:09,0
12418,김동욱(ds4n****),좋은영화다. 좋다. 눈 귀 마음 모두가 즐거운영화!!,10,0,0,2014-08-28 8:07,0
12419,6536****,원스를 뛰어 넘은 영화 평점도 자주 안적는데 이건 꼭적어야합니다 꼭보세요 정말 생에 최고의 영화 수준입니다,10,0,0,2014-08-28 8:07,0
12420,하루(iooi****),"친절한 설명이 없어 좋았던 영화. 아마...또 한번 영화를 본다면, 좀 더 다른 시선으로 그들을 볼수 있을것 같은.. 몇번이고 보고 싶은 영화. 귀가 즐거운건 두말할것 없고간지럽게 웃음나고, 갑자기 눈물이 날것 같았...",10,0,0,2014-08-28 6:49,0
12421,에버그린22(anni****),음악과 영상이 편안하게 좋았다~~~,8,0,0,2014-08-28 6:23,관람객
12422,selly(hell****),음악으로 모두가 새롭게!,9,0,0,2014-08-28 4:34,0
