,nickname,text,score,like,dislike,time,watch_movie
627,별이(euns****),행복한 슬픔이 계속 맴도는 영화! 정말 재밌었어요 역시 안볼 수가 없었던 영화네요 정말 재밌게봤어용,10,1,0,2016-06-07 11:23,관람객
628,최희승(choi****),어설픔마저도 즐거운 마음으로 볼 수 있는 영화,9,1,0,2016-06-07 1:11,관람객
629,goguma(dear****),"힐링영화. 80년대 신스팝을 좋아해서인지 모르겠지만 보는내내 엄마미소로 볼 수 있었음. 스토리는 다소 아쉬운 경향이 있지만, 그래도 주인공들의 사랑스러움과 좋은 음악만으로도 10점 줄수있음.",10,1,0,2016-06-07 0:55,0
630,Dalcy(pooh****),음악도 좋고 배우들도 너무 매력있음!!!,9,1,0,2016-06-05 22:52,0
631,다빈(dks0****),개인적으로 비긴어게인 보다 좋았던 영화,10,1,0,2016-06-05 22:37,관람객
632,최주예(seve****),일단 저지르고 보자지금이아니면 못가니까,10,1,0,2016-06-05 21:03,관람객
633,juhy****,지친일상에서 고민하던 꿈을 향해 한걸음 더 딛게 해 주는 영화입니다.,10,1,0,2016-06-05 21:01,관람객
634,긔염승현(jmar****),여운이 남는 영화 보다 울컥 했음,9,1,0,2016-06-05 18:24,관람객
635,임유경(sokk****),감성적이고 음악들도 좋았다,9,1,0,2016-06-05 17:17,관람객
636,랄랄라(lala****),기분 좋아지는 영화! 모든 시작할 수 있을 것만 같은 그런 기분이 들 정도!,10,1,0,2016-06-05 17:08,관람객
637,예지(yeaj****),진짜 강추합니다!! 스토리도 지루하지 않고 시간 가는줄 모르고 재밌게 봤습니다ㅎㅎ 음악도 너무 좋고ㅠㅠㅠ힐링영화..♡,10,1,0,2016-06-05 16:59,관람객
638,Pnoer(juni****),재미있게 잘봤어요!!,10,1,0,2016-06-05 16:51,관람객
639,배바지(cjsw****),와 이건 진짜 기대안하고 보면 진심 놀랄듯 퀄리티 대박,10,1,0,2016-06-05 14:01,관람객
640,김현호(nonv****),2016년 최고의 영화가 아닐까라는 생각이 든다.,10,1,0,2016-06-05 12:55,0
641,Gondry(repl****),"음악, 연출, 연기 모두 손색 없다. 영상미가 대단하다. 정말 마음이 평화로워진다. 정말 보는내내 즐겁고 행복했던 영화",10,1,0,2016-06-05 12:27,0
642,밀크볼(milk****),"성장, 노력, 사랑을 아름답게 담은 영화.노래들도 정말 좋았음.",10,1,0,2016-06-05 12:18,관람객
643,솜튜타(sue1****),진정 삶의 질을 높여주는 영화라 말할 수 있겠다,10,1,0,2016-06-04 22:32,0
644,Latte(arde****),"매드맥스 만큼이나 두근거림이 일었던, 뭘 망설이고있냐고 물었던 영화 아주 영상미에  음악에 정신을 차릴 수 가 없었습니다.  '이 세상의 모든 형제들에게, 훔친듯이 달려!'",10,1,0,2016-06-04 19:12,관람객
645,꿍치(dydd****),나의 인생영화....꼭보세요!!!,10,1,0,2016-06-04 18:51,0
646,rnjstjsdk(rnjs****),음악 나오는 성장 영화들 거의 다 보다 말았는데 이건 끝까지 웃기고 감동적이고 노래들 하나하나 다좋고 배우들도 다좋고  개성있고 성장할때마다 풍기는 분위기가 너무너무 좋았음 최고엿음,10,1,0,2016-06-04 13:43,0
647,노영일(yeon****),완성도가 높지않은 느낌,7,1,0,2016-06-02 18:30,0
648,lovi****,존 카니가 존재하는 이유.,6,1,0,2016-06-02 10:30,0
649,8823(tych****),저도 코너의 상상씬에서 울었어요 ㅠㅠ,8,1,0,2016-06-02 1:23,관람객
650,nams****,음악영화는 항상 옳다.,9,1,0,2016-06-01 23:11,관람객
651,이민하(joeu****),"진짜 그냥 보는내내 너무 행복하고, 벅차고, 나도 모르게 리듬을 타고 있고 감동까지 있는 영화인 것 같아요. 평점 한 번도 안적어봤는데 이 벅참을 어딘가라도 표출하고 싶어서 로그인했어요. 그 정도로 너무 좋은 영화....",10,1,0,2016-06-01 22:17,0
652,야슈흐(kib1****),마지막에 'go now' 가 흘러나오는 장면에서 전율을 느낌과 동시에 불안감을 느끼고 있는 자신이 싫었습니다..,9,1,0,2016-06-01 17:13,0
653,김수진(sims****),기대안하고봤는데 기대 이상... 비긴어게인보다 훨씬 재밌게봄,10,1,0,2016-06-01 15:52,0
654,김상헌(tkdg****),너무 좋았고^^ 색이며 내용이며 순수한 영화였어요,10,1,0,2016-06-01 15:13,관람객
655,르시에(pure****),보고 나면 기분이 좋아지는 영화!오에스티도 너무 다 좋네요,9,1,0,2016-06-01 14:47,관람객
656,삼장(bbus****),눈에 띄는 단점들을 다 삼켜버리는 음악,8,1,0,2016-06-01 13:48,관람객
657,워리(gksg****),사랑에 빠진 사람이 만드는 노래는 최고인 것 같아요♡,9,1,0,2016-06-01 13:24,관람객
658,프레(kdhk****),"킬링타임용, 데이트용 영화. 노래가 좋다/",7,1,0,2016-06-01 13:19,관람객
659,랄라(alfk****),노래도 신나고 여운이 남는 영화 인거 같다. 이렇게 현재의 상황생각을 하지않고 실행 할 수 있는 코너와 라피나가 멋있어 보였다!^^,9,1,0,2016-06-01 12:47,0
660,김상민(tkda****),밴드음악 좋아하시면 꼭 영화관가서 보세요,10,1,0,2016-06-01 11:00,0
661,쌀이져아(qldl****),"보는내내좋음  여자때문에만든 즉흥밴드,주인공목소리,작사작곡하같이해주는토끼친구...뭐든게",10,1,0,2016-06-01 9:11,0
662,탱이K(pete****),혼자가서봤는데 정말 썸녀랑봤으면 연애했을거같아요 섬녀랑 한번더봐야겠어요 너무재밌어요,10,1,0,2016-06-01 6:09,0
663,gkdl****,가슴이뛰네요...당장이라도 떠나야 될거같은 느낌...^^ 너무잘봤습니다..!!,10,1,0,2016-06-01 0:34,0
664,주누(junu****),너무나도 착한 영화. 진부의 끝을 달림에도 관객들에게 어필이 된다는 건 그만큼 우리사회가 치유받기를 원한다는 것.,7,1,0,2016-05-31 18:44,0
665,블루마린(boun****),어릴적 상상만하고 이루지 못한 꿈과 도전을 이 영화를 동해 대리만족해보는 값진 시간이었네요~^^,9,1,0,2016-05-31 18:07,0
666,천하무적(ssam****),나의 지난 청소년기를 돌아보게 되네요...참 유쾌한 영화네요 ㅎㅎ,8,1,0,2016-05-31 16:32,0
667,기억하라(shyg****),"최근 본 영화 중에 단연 최고! 물론 드롭박스의 감동과 비견하여 어찌 말해야할까 약간 고민되었지만, 이 영화의 청량감은 !!! 한 여름 아이스크림 같은 영화 !  여러분 이 영화 꼭 보세요! 두번 보세요! 세번 보세...",10,1,0,2016-05-31 0:55,0
668,이청아(cjdd****),재밌어요 진짜 ㅋㅋㅋ꼭보세요,10,1,0,2016-05-30 16:52,0
669,BEAGLE(ken9****),뻔한 스토리지만 뻔하지않은 감동,10,1,0,2016-05-30 16:36,0
670,SEB(hell****),10점 그이상도 안아까운 영화! 진짜 보는내내 감탄하게 만든다! 영화관에서 안본 당신이 불쌍한 영화!,10,1,0,2016-05-30 16:34,0
671,원석(won_****),"성장과 사랑이 절묘하게 어우러졌다. 남자라면 누구나 반한 여자에게 잘 보이려고 뭔가 했던 시기가 있을 것이다. 형의 마음도 뭉클했으며, 소년의 시점에서 잘 표현한 영화다. 아련한 시절, 아련한 추억. 노래들도 너무 ...",10,1,0,2016-05-30 16:06,0
672,2JE(w745****),세상의 모든 청춘들에게.이런 영화 만들어주셔서 정말 감사합니다,10,1,0,2016-05-30 15:56,0
673,캬누더럽(toro****),이렇게 사랑스럽고 뭉클한 성장영화는 본 적이 없다,9,1,0,2016-05-30 15:46,0
674,조토끼(kk40****),같이 떠나고싶었다 너무 공감돼서 많이 울다나왔다 나는 이미 뒤를돌아봤을까,10,1,0,2016-05-30 15:36,0
675,잘냄2(sdsa****),정말 재미있게  봤습니다ㅎㅎ,10,1,0,2016-05-30 14:31,0
676,뿌뿌뿌잉(5561****),싱스트리트 베리 나이스,10,1,0,2016-05-30 14:17,0
677,I love Liverpool(lsk9****),정말 비긴어게인과는 다른 감동이었어요. 하지만 정말 뭉클하기도 하고  저에게 도전하라는 메세지를 주는듯한 영화였어요,10,1,0,2016-05-30 13:16,0
678,엄지짱(qqqp****),3번 봤ㅇ ㅓ....ㅠ봐도봐도 재밋음 영화관에서 빵빵하게 해줄때 꼭 보세여. 꼬 ㄱ.,10,1,0,2016-05-30 11:36,0
679,gil1****,진짜 최고였다 꼭봐라 호불호갈릴영화이긴하지만 유럽쪽영화나 우리나라 거지같은 대중영화말고 잔잔하면서 작품성있는영화좋아하면 이만한영화없다 이감독 갈수록 천재되가는듯,10,1,0,2016-05-30 3:53,관람객
680,vaa(minj****),딱히 슬픈장면이 있던 것도 아니지만 보는 내내 너무 행복해 보이는 모습들에 괜히 울컥했다. 꿈만을 위해 무모한 미친 짓을 하는 주인공와 그걸 보고 환호하는 형. 진짜 너무 멋졌어..,10,1,0,2016-05-30 2:24,0
681,정지성(jung****),감성 돋게 만드는 영화.감독의 전작들에 비해 노래들이 살짝 약하단 생각이 들었다. 이야기 전개가 너무 개연성 없는 것 아닌가 하는 생각도 조금 들었지만 재밌게 봤다.,7,1,0,2016-05-29 23:27,관람객
682,호야맘쩡(hoya****),감동과웃음노래도 좋고 남주여주도 좋고 재밌게봤어요,9,1,0,2016-05-29 22:23,관람객
683,장이(terr****),음악이라는 주제를 통해서 꿈을 향해 포기하지말고 나아가라는 메세지를 던져주는 영화. 결말 부분이 조금 허무하긴 하지만 재밌게 봤습니다,8,1,0,2016-05-29 22:17,관람객
684,화니(ms86****),영화에서의 색감이며 감성들은 정말로 우리를 아름답게 물들여줄 수 있어요  음악완전좋아요 제 스타일이에요,10,1,0,2016-05-29 22:16,관람객
